,Office_2008,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes,dem_votes,repub_votes,county_polit_lean,county_perc_vote_dem,county_perc_vote_repub,county_state,county_stateV2,state_abb,hhi.political_lean,diversity.political_lean
32,President 2008,Alabama,20081104,N/A,GREENE,County,"5,305",876,"McCain, John S. III",Challenger,"4,408","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,21,"3,532",D,16.51,83.09,0,0.4,16.58,83.42,NA,NA,NA,1785,2754,969,0.393258427,0.606741573,Greene County AL,Greene AL,AL,0.522787527,0.477212473
33,President 2008,Alabama,20081104,N/A,HALE,County,"8,214","3,200","McCain, John S. III",Challenger,"4,982","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,32,"1,782",D,38.96,60.65,0,0.39,39.11,60.89,NA,NA,NA,1899,1371,-528,0.580733945,0.419266055,Hale County AL,Hale AL,AL,0.51303594,0.48696406
34,President 2008,Alabama,20081104,N/A,HENRY,County,"8,648","5,585","McCain, John S. III",Challenger,"3,018","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,45,"2,567",R,64.58,34.9,0,0.52,64.92,35.08,NA,NA,NA,1339,2075,736,0.392208553,0.607791447,Henry County AL,Henry AL,AL,0.523237992,0.476762008
35,President 2008,Alabama,20081104,N/A,HOUSTON,County,"41,735","29,254","McCain, John S. III",Challenger,"12,225","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,256,"17,029",R,70.09,29.29,0,0.61,70.53,29.47,NA,NA,NA,498,1297,799,0.277437326,0.722562674,Houston County AL,Houston AL,AL,0.599068288,0.400931712
36,President 2008,Alabama,20081104,N/A,JACKSON,County,"20,874","14,083","McCain, John S. III",Challenger,"6,374","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,417,"7,709",R,67.47,30.54,0,2,68.84,31.16,NA,NA,NA,2273,576,-1697,0.797823798,0.202176202,Jackson County AL,Jackson AL,AL,0.677398029,0.322601971
37,President 2008,Alabama,20081104,N/A,JEFFERSON,County,"318,524","149,921","McCain, John S. III",Challenger,"166,121","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"2,482","16,200",D,47.07,52.15,0,0.78,47.44,52.56,NA,NA,NA,713,622,-91,0.534082397,0.465917603,Jefferson County AL,Jefferson AL,AL,0.50232322,0.49767678
38,President 2008,Alabama,20081104,N/A,LAMAR,County,"7,075","5,419","McCain, John S. III",Challenger,"1,614","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,42,"3,805",R,76.59,22.81,0,0.59,77.05,22.95,NA,NA,NA,224,2046,1822,0.098678414,0.901321586,Lamar County AL,Lamar AL,AL,0.822118031,0.177881969
39,President 2008,Alabama,20081104,N/A,LAUDERDALE,County,"38,104","24,068","McCain, John S. III",Challenger,"13,329","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,707,"10,739",R,63.16,34.98,0,1.86,64.36,35.64,NA,NA,NA,560,1193,633,0.319452367,0.680547633,Lauderdale County AL,Lauderdale AL,AL,0.565194895,0.434805105
40,President 2008,Alabama,20081104,N/A,LAWRENCE,County,"14,680","9,277","McCain, John S. III",Challenger,"5,164","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,239,"4,113",R,63.19,35.18,0,1.63,64.24,35.76,NA,NA,NA,2035,2796,761,0.421237839,0.578762161,Lawrence County AL,Lawrence AL,AL,0.512406956,0.487593044
41,President 2008,Alabama,20081104,N/A,LEE,County,"54,325","32,230","McCain, John S. III",Challenger,"21,498","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,597,"10,732",R,59.33,39.57,0,1.1,59.99,40.01,NA,NA,NA,1154,1580,426,0.422092173,0.577907827,Lee County AL,Lee AL,AL,0.512139259,0.487860741
42,President 2008,Alabama,20081104,N/A,LIMESTONE,County,"33,551","23,598","McCain, John S. III",Challenger,"9,536","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,417,"14,062",R,70.33,28.42,0,1.24,71.22,28.78,NA,NA,NA,2766,1178,-1588,0.701318458,0.298681542,Limestone County AL,Limestone AL,AL,0.581058243,0.418941757
43,President 2008,Alabama,20081104,N/A,LOWNDES,County,"7,278","1,809","McCain, John S. III",Challenger,"5,449","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,20,"3,640",D,24.86,74.87,0,0.27,24.92,75.08,NA,NA,NA,2077,222,-1855,0.903436277,0.096563723,Lowndes County AL,Lowndes AL,AL,0.825521659,0.174478341
44,President 2008,Alabama,20081104,N/A,MACON,County,"10,877","1,396","McCain, John S. III",Challenger,"9,450","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,31,"8,054",D,12.83,86.88,0,0.29,12.87,87.13,NA,NA,NA,2757,106,-2651,0.962975899,0.037024101,Macon County AL,Macon AL,AL,0.928693367,0.071306633
45,President 2008,Alabama,20081104,N/A,MADISON,County,"152,899","86,965","McCain, John S. III",Challenger,"64,117","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"1,817","22,848",R,56.88,41.93,0,1.19,57.56,42.44,NA,NA,NA,2371,2749,378,0.463085938,0.536914063,Madison County AL,Madison AL,AL,0.502725296,0.497274704
46,President 2008,Alabama,20081104,N/A,MARENGO,County,"11,471","5,516","McCain, John S. III",Challenger,"5,926","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,29,410,D,48.09,51.66,0,0.25,48.21,51.79,NA,NA,NA,2145,2067,-78,0.509259259,0.490740741,Marengo County AL,Marengo AL,AL,0.500171468,0.499828532
47,President 2008,Alabama,20081104,N/A,MARION,County,"12,355","9,536","McCain, John S. III",Challenger,"2,600","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,219,"6,936",R,77.18,21.04,0,1.77,78.58,21.42,NA,NA,NA,993,2824,1831,0.260151952,0.739848048,Marion County AL,Marion AL,AL,0.615054172,0.384945828
48,President 2008,Alabama,20081104,N/A,MARSHALL,County,"33,166","25,727","McCain, John S. III",Challenger,"7,038","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,401,"18,689",R,77.57,21.22,0,1.21,78.52,21.48,NA,NA,NA,2423,1229,-1194,0.66347207,0.33652793,Marshall County AL,Marshall AL,AL,0.553446235,0.446553765
49,President 2008,Alabama,20081104,N/A,MOBILE,County,"181,424","98,049","McCain, John S. III",Challenger,"82,181","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"1,194","15,868",R,54.04,45.3,0,0.66,54.4,45.6,NA,NA,NA,2685,2900,215,0.480752014,0.519247986,Mobile County AL,Mobile AL,AL,0.50074097,0.49925903
50,President 2008,Alabama,20081104,N/A,MONROE,County,"11,252","6,175","McCain, John S. III",Challenger,"5,025","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,52,"1,150",R,54.88,44.66,0,0.46,55.13,44.87,NA,NA,NA,2007,2262,255,0.470133521,0.529866479,Monroe County AL,Monroe AL,AL,0.501784013,0.498215987
51,President 2008,Alabama,20081104,N/A,MONTGOMERY,County,"104,743","42,031","McCain, John S. III",Challenger,"62,166","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,546,"20,135",D,40.13,59.35,0,0.52,40.34,59.66,NA,NA,NA,2358,1908,-450,0.552742616,0.447257384,Montgomery County AL,Montgomery AL,AL,0.505563567,0.494436433
52,President 2008,Alabama,20081104,N/A,MORGAN,County,"50,542","36,014","McCain, John S. III",Challenger,"13,895","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,633,"22,119",R,71.26,27.49,0,1.25,72.16,27.84,NA,NA,NA,587,1629,1042,0.264891697,0.735108303,Morgan County AL,Morgan AL,AL,0.610551829,0.389448171
53,President 2008,Alabama,20081104,N/A,PERRY,County,"6,159","1,679","McCain, John S. III",Challenger,"4,457","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,23,"2,778",D,27.26,72.37,0,0.37,27.36,72.64,NA,NA,NA,1798,185,-1613,0.90670701,0.09329299,Perry County AL,Perry AL,AL,0.830821183,0.169178817
54,President 2008,Alabama,20081104,N/A,PICKENS,County,"10,067","5,434","McCain, John S. III",Challenger,"4,594","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,39,840,R,53.98,45.63,0,0.39,54.19,45.81,NA,NA,NA,1829,2050,221,0.471513277,0.528486723,Pickens County AL,Pickens AL,AL,0.501622987,0.498377013
55,President 2008,Alabama,20081104,N/A,PIKE,County,"13,955","8,004","McCain, John S. III",Challenger,"5,879","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,72,"2,125",R,57.36,42.13,0,0.52,57.65,42.35,NA,NA,NA,2135,2608,473,0.450137044,0.549862956,Pike County AL,Pike AL,AL,0.504972629,0.495027371
56,President 2008,Alabama,20081104,N/A,RANDOLPH,County,"10,384","7,175","McCain, John S. III",Challenger,"3,064","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,145,"4,111",R,69.1,29.51,0,1.4,70.08,29.92,NA,NA,NA,1355,2465,1110,0.354712042,0.645287958,Randolph County AL,Randolph AL,AL,0.542217182,0.457782818
57,President 2008,Alabama,20081104,N/A,RUSSELL,County,"18,915","8,705","McCain, John S. III",Challenger,"10,085","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,125,"1,380",D,46.02,53.32,0,0.66,46.33,53.67,NA,NA,NA,355,2688,2333,0.11666119,0.88333881,Russell County AL,Russell AL,AL,0.793897287,0.206102713
58,President 2008,Alabama,20081104,N/A,SHELBY,County,"90,643","69,060","McCain, John S. III",Challenger,"20,625","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,958,"48,435",R,76.19,22.75,0,1.06,77,23,NA,NA,NA,1121,2433,1312,0.315419246,0.684580754,Shelby County AL,Shelby AL,AL,0.56814011,0.43185989
59,President 2008,Alabama,20081104,N/A,ST. CLAIR,County,"34,088","27,649","McCain, John S. III",Challenger,"6,091","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,348,"21,558",R,81.11,17.87,0,1.02,81.95,18.05,NA,NA,NA,2239,1266,-973,0.638801712,0.361198288,St. Clair County AL,St. Clair AL,AL,0.53853183,0.46146817
60,President 2008,Alabama,20081104,N/A,SUMTER,County,"7,020","1,731","McCain, John S. III",Challenger,"5,264","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,25,"3,533",D,24.66,74.99,0,0.36,24.75,75.25,NA,NA,NA,2055,204,-1851,0.909694555,0.090305445,Sumter County AL,Sumter AL,AL,0.835699257,0.164300743
61,President 2008,Alabama,20081104,N/A,TALLADEGA,County,"34,204","20,112","McCain, John S. III",Challenger,"13,779","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,313,"6,333",R,58.8,40.28,0,0.92,59.34,40.66,NA,NA,NA,581,1088,507,0.348112642,0.651887358,Talladega County AL,Talladega AL,AL,0.546139539,0.453860461
62,President 2008,Alabama,20081104,N/A,TALLAPOOSA,County,"19,311","13,116","McCain, John S. III",Challenger,"6,063","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,132,"7,053",R,67.92,31.4,0,0.68,68.39,31.61,NA,NA,NA,2236,516,-1720,0.8125,0.1875,Tallapoosa County AL,Tallapoosa AL,AL,0.6953125,0.3046875
63,President 2008,Alabama,20081104,N/A,TUSCALOOSA,County,"78,912","45,405","McCain, John S. III",Challenger,"32,796","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,711,"12,609",R,57.54,41.56,0,0.9,58.06,41.94,NA,NA,NA,1611,1936,325,0.454186637,0.545813363,Tuscaloosa County AL,Tuscaloosa AL,AL,0.504197729,0.495802271
64,President 2008,Alabama,20081104,N/A,WALKER,County,"28,652","20,722","McCain, John S. III",Challenger,"7,420","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,510,"13,302",R,72.32,25.9,0,1.78,73.63,26.37,NA,NA,NA,2473,1108,-1365,0.690589221,0.309410779,Walker County AL,Walker AL,AL,0.572648502,0.427351498
65,President 2008,Alabama,20081104,N/A,WASHINGTON,County,"8,775","5,654","McCain, John S. III",Challenger,"3,067","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,54,"2,587",R,64.43,34.95,0,0.62,64.83,35.17,NA,NA,NA,1357,2084,727,0.394362104,0.605637896,Washington County AL,Washington AL,AL,0.52231873,0.47768127
66,President 2008,Alabama,20081104,N/A,WILCOX,County,"6,494","1,868","McCain, John S. III",Challenger,"4,612","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,14,"2,744",D,28.77,71.02,0,0.22,28.83,71.17,NA,NA,NA,1835,239,-1596,0.884763742,0.115236258,Wilcox County AL,Wilcox AL,AL,0.796086274,0.203913726
67,President 2008,Alabama,20081104,N/A,WINSTON,County,"10,031","8,103","McCain, John S. III",Challenger,"1,757","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,171,"6,346",R,80.78,17.52,0,1.7,82.18,17.82,NA,NA,NA,276,2620,2344,0.095303867,0.904696133,Winston County AL,Winston AL,AL,0.827557919,0.172442081
68,President 2008,Alaska,20081104,N/A,Election District 1,Election District,"6,970","4,149","McCain, John S. III",Challenger,"2,597","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,224,"1,552",R,59.53,37.26,0,3.21,61.5,38.5,NA,NA,NA,990,1707,717,0.367074527,0.632925473,Election District 1 County AK,Election District 1 AK,AK,0.535338363,0.464661637
69,President 2008,Alaska,20081104,N/A,Election District 10,Election District,"5,615","3,392","McCain, John S. III",Challenger,"2,074","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,149,"1,318",R,60.41,36.94,0,2.65,62.06,37.94,NA,NA,NA,835,1413,578,0.371441281,0.628558719,Election District 10 County AK,Election District 10 AK,AK,0.533054688,0.466945312
70,President 2008,Alaska,20081104,N/A,Election District 11,Election District,"9,866","7,736","McCain, John S. III",Challenger,"1,924","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,206,"5,812",R,78.41,19.5,0,2.09,80.08,19.92,NA,NA,NA,327,2525,2198,0.114656381,0.885343619,Election District 11 County AK,Election District 11 AK,AK,0.796979409,0.203020591
71,President 2008,Alaska,20081104,N/A,Election District 12,Election District,"7,589","5,467","McCain, John S. III",Challenger,"1,914","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,208,"3,553",R,72.04,25.22,0,2.74,74.07,25.93,NA,NA,NA,323,2055,1732,0.135828427,0.864171573,Election District 12 County AK,Election District 12 AK,AK,0.765241869,0.234758131
72,President 2008,Alaska,20081104,N/A,Election District 13,Election District,"11,526","8,432","McCain, John S. III",Challenger,"2,800","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,294,"5,632",R,73.16,24.29,0,2.55,75.07,24.93,NA,NA,NA,1046,2659,1613,0.282321188,0.717678812,Election District 13 County AK,Election District 13 AK,AK,0.594768131,0.405231869
73,President 2008,Alaska,20081104,N/A,Election District 14,Election District,"10,456","8,108","McCain, John S. III",Challenger,"2,132","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,216,"5,976",R,77.54,20.39,0,2.07,79.18,20.82,NA,NA,NA,847,2622,1775,0.244162583,0.755837417,Election District 14 County AK,Election District 14 AK,AK,0.630905568,0.369094432
74,President 2008,Alaska,20081104,N/A,Election District 15,Election District,"11,086","8,227","McCain, John S. III",Challenger,"2,510","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,349,"5,717",R,74.21,22.64,0,3.15,76.62,23.38,NA,NA,NA,958,2636,1678,0.26655537,0.73344463,Election District 15 County AK,Election District 15 AK,AK,0.60899279,0.39100721
75,President 2008,Alaska,20081104,N/A,Election District 16,Election District,"10,697","7,774","McCain, John S. III",Challenger,"2,636","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,287,"5,138",R,72.67,24.64,0,2.68,74.68,25.32,NA,NA,NA,1004,2531,1527,0.284016973,0.715983027,Election District 16 County AK,Election District 16 AK,AK,0.593297336,0.406702664
